iter	Passed	Remaining
207	498	1897
208	500	1893
209	502	1891
210	504	1886
211	506	1882
212	508	1877
213	510	1873
214	511	1869
215	513	1864
216	515	1859
217	517	1854
218	518	1849
219	520	1844
220	522	1841
221	523	1836
222	525	1832
223	527	1829
224	529	1824
225	531	1819
226	533	1815
227	534	1811
228	537	1808
229	538	1803
230	540	1800
231	542	1795
232	543	1790
233	545	1786
234	547	1781
235	548	1776
236	550	1771
237	552	1768
238	554	1764
239	556	1760
240	557	1756
241	559	1752
242	561	1748
243	562	1743
244	564	1739
245	566	1737
246	568	1734
247	570	1730
248	572	1726
249	574	1722
250	576	1718
251	577	1714
252	579	1710
253	582	1709
254	583	1705
255	585	1701
256	587	1697
257	589	1694
258	590	1689
259	592	1686
260	594	1682
261	596	1680
262	598	1676
263	600	1673
264	602	1669
265	604	1666
266	606	1663
267	607	1660
268	610	1659
269	612	1656
270	614	1653
271	616	1649
272	618	1646
273	620	1643
274	621	1639
275	624	1639
276	626	1635
277	628	1632
278	630	1628
279	631	1624
280	633	1621
281	635	1617
282	637	1614
283	639	1613
284	641	1610
285	643	1606
286	645	1602
287	647	1599
288	648	1596
289	650	1593
290	652	1590
291	654	1587
292	656	1583
293	658	1580
294	659	1577
295	661	1573
296	663	1569
297	680	1603
298	682	1600
299	684	1597
300	686	1594
301	688	1591
302	690	1588
303	692	1585
304	694	1581
305	695	1578
306	699	1578
307	701	1575
308	703	1573
309	705	1570
310	708	1569
311	710	1565
312	713	1565
313	715	1562
314	717	1559
315	719	1556
316	721	1553
317	723	1551
318	725	1548
319	727	1545
320	729	1542
321	731	1539
322	733	1537
323	736	1535
324	737	1532
325	739	1529
326	742	1527
327	744	1524
328	745	1521
329	747	1518
330	749	1514
331	750	1511
332	753	1508
333	754	1504
334	756	1501
335	758	1498
336	760	1495
337	761	1492
338	763	1489
339	765	1486
340	767	1482
341	768	1479
342	770	1476
343	772	1473
344	774	1469
345	776	1466
346	778	1464
347	780	1461
348	782	1458
349	784	1457
350	786	1454
351	789	1453
352	791	1450
353	793	1448
354	795	1445
355	797	1441
356	799	1440
357	801	1437
358	804	1435
359	806	1433
360	808	1430
361	810	1428
362	811	1424
363	814	1423
364	816	1421
365	818	1418
366	820	1415
367	822	1412
368	824	1409
369	826	1406
370	828	1404
371	829	1401
372	831	1398
373	833	1395
374	835	1392
375	837	1389
376	838	1385
377	840	1382
378	842	1380
379	844	1378
380	846	1375
381	848	1372
382	850	1369
383	851	1366
384	853	1363
385	855	1360
386	858	1359
387	859	1356
388	861	1353
389	863	1350
390	865	1347
391	866	1344
392	868	1341
393	870	1339
394	872	1336
395	874	1333
396	875	1330
397	878	1328
398	880	1325
399	881	1322
400	883	1319
401	885	1317
402	887	1314
403	889	1312
404	891	1309
405	893	1306
406	894	1303
407	896	1300
408	898	1298
409	900	1295
410	902	1292
411	904	1290
412	905	1287
413	907	1284
414	909	1282
415	911	1278
416	912	1276
417	915	1274
418	917	1272
419	919	1269
420	921	1266
421	922	1264
422	925	1261
423	926	1259
424	928	1256
425	931	1254
426	932	1251
427	934	1248
428	935	1245
429	937	1243
430	939	1240
431	941	1237
432	943	1235
433	945	1232
434	947	1230
435	948	1227
436	950	1225
437	952	1222
438	954	1219
439	955	1216
440	957	1214
441	959	1211
442	961	1209
443	963	1206
444	965	1204
445	967	1202
446	969	1199
447	971	1196
448	973	1194
449	975	1192
450	977	1189
451	978	1186
452	988	1193
453	992	1193
454	995	1192
455	997	1189
456	999	1187
457	1003	1187
458	1006	1185
459	1008	1184
460	1011	1182
461	1013	1179
462	1015	1177
463	1017	1175
464	1020	1173
465	1022	1171
466	1023	1168
467	1026	1166
468	1028	1164
469	1030	1162
470	1032	1159
471	1034	1157
472	1036	1154
473	1038	1152
474	1041	1150
475	1043	1148
476	1045	1146
477	1047	1143
478	1049	1141
479	1051	1139
480	1054	1137
481	1056	1135
482	1058	1133
483	1060	1131
484	1063	1129
485	1064	1126
486	1066	1123
487	1069	1122
488	1071	1119
489	1072	1116
490	1074	1113
491	1076	1111
492	1077	1108
493	1079	1105
494	1081	1103
495	1083	1100
496	1085	1098
497	1087	1096
498	1088	1093
499	1090	1090
500	1092	1087
501	1093	1084
502	1094	1081
503	1096	1079
504	1098	1076
505	1100	1074
506	1102	1071
507	1104	1069
508	1105	1066
509	1107	1064
510	1109	1061
511	1111	1059
512	1113	1056
513	1115	1054
514	1116	1051
515	1118	1049
516	1120	1047
517	1122	1044
518	1124	1041
519	1127	1040
520	1129	1038
521	1130	1035
522	1132	1032
523	1134	1030
524	1136	1028
525	1138	1025
526	1140	1023
527	1142	1021
528	1144	1018
529	1145	1016
530	1147	1013
531	1149	1011
532	1150	1008
533	1152	1005
534	1154	1003
535	1156	1000
536	1157	998
537	1159	995
538	1161	993
539	1163	990
540	1164	988
541	1166	985
542	1167	982
543	1169	980
544	1171	978
545	1173	975
546	1175	973
547	1177	971
548	1179	968
549	1180	966
550	1183	964
551	1185	962
552	1187	960
553	1189	957
554	1193	956
555	1194	954
556	1197	952
557	1199	950
558	1201	948
559	1203	945
560	1206	944
561	1208	941
562	1210	939
563	1213	937
564	1215	935
565	1217	933
566	1219	931
567	1221	929
568	1223	926
569	1225	924
570	1227	922
571	1228	919
572	1230	917
573	1232	914
574	1233	912
575	1235	909
576	1236	906
577	1238	904
578	1240	901
579	1242	899
580	1243	896
581	1245	894
582	1246	891
583	1248	889
584	1250	886
585	1251	884
586	1252	881
587	1254	879
588	1256	876
589	1258	874
590	1259	871
591	1261	869
592	1262	866
593	1264	864
594	1265	861
595	1267	859
596	1268	856
597	1270	854
598	1272	851
599	1273	849
600	1275	846
601	1277	844
602	1278	841
603	1280	839
604	1281	836
605	1283	834
606	1284	831
607	1286	829
608	1288	827
609	1290	824
610	1291	822
611	1293	820
612	1294	817
613	1295	814
614	1297	812
615	1299	809
616	1300	807
617	1302	805
618	1304	802
619	1305	800
620	1307	797
621	1309	795
622	1310	793
623	1311	790
624	1314	788
625	1315	786
626	1317	783
627	1318	781
628	1320	778
629	1322	776
630	1323	774
631	1325	771
632	1326	769
633	1328	767
634	1330	764
635	1332	762
636	1334	760
637	1336	758
638	1338	755
639	1339	753
640	1341	751
641	1344	749
642	1346	747
643	1347	745
644	1349	742
645	1351	740
646	1353	738
647	1355	736
648	1357	734
649	1359	732
650	1360	729
651	1362	727
652	1364	725
653	1366	722
654	1368	720
655	1370	718
656	1372	716
657	1373	714
658	1375	711
659	1376	709
660	1378	707
661	1380	704
662	1381	702
663	1383	700
664	1384	697
665	1386	695
666	1388	693
667	1390	690
668	1391	688
669	1393	686
670	1395	684
671	1396	681
672	1398	679
673	1399	676
674	1401	674
675	1403	672
676	1405	670
677	1406	668
678	1408	665
679	1409	663
680	1411	660
681	1412	658
682	1413	656
683	1415	654
684	1417	651
685	1419	649
686	1420	647
687	1422	644
688	1424	642
689	1425	640
690	1427	638
691	1428	635
692	1430	633
693	1431	631
694	1433	629
695	1435	626
696	1436	624
697	1438	622
698	1439	620
699	1441	617
700	1442	615
701	1444	613
702	1446	611
703	1448	608
704	1449	606
705	1451	604
706	1453	602
707	1454	600
708	1456	597
709	1457	595
710	1460	593
711	1461	591
712	1463	589
713	1465	586
714	1467	584
715	1469	582
716	1470	580
717	1472	578
718	1474	576
719	1476	574
720	1477	571
721	1479	569
722	1482	567
723	1484	565
724	1485	563
725	1486	561
726	1489	559
727	1491	557
728	1492	554
729	1494	552
730	1496	550
731	1497	548
732	1499	546
733	1501	544
734	1503	542
735	1505	539
736	1507	537
737	1509	535
738	1510	533
739	1512	531
740	1514	529
741	1515	527
742	1518	525
743	1519	523
744	1521	520
745	1523	518
746	1526	516
747	1528	514
748	1530	512
749	1533	511
750	1535	509
751	1537	507
752	1539	504
753	1540	502
754	1542	500
755	1544	498
756	1546	496
757	1548	494
758	1550	492
759	1552	490
760	1553	488
761	1556	486
762	1557	483
763	1558	481
764	1560	479
765	1562	477
766	1564	475
767	1566	473
768	1568	471
769	1569	468
770	1571	466
771	1573	464
772	1575	462
773	1576	460
774	1578	458
775	1580	456
776	1581	453
777	1583	451
778	1585	449
779	1587	447
780	1589	445
781	1591	443
782	1593	441
783	1595	439
784	1597	437
785	1599	435
786	1600	433
787	1602	431
788	1604	429
789	1606	427
790	1608	424
791	1609	422
792	1611	420
793	1613	418
794	1614	416
795	1616	414
796	1619	412
797	1621	410
798	1623	408
799	1625	406
800	1627	404
801	1629	402
802	1631	400
803	1634	398
804	1636	396
805	1638	394
806	1640	392
807	1642	390
808	1644	388
809	1645	386
810	1648	384
811	1650	382
812	1652	380
813	1654	378
814	1676	380
815	1679	378
816	1681	376
817	1683	374
818	1685	372
819	1687	370
820	1689	368
821	1692	366
822	1694	364
823	1696	362
824	1698	360
825	1700	358
826	1702	356
827	1704	354
828	1707	352
829	1709	350
830	1712	348
831	1714	346
832	1715	344
833	1717	341
834	1719	339
835	1722	337
836	1723	335
837	1725	333
838	1727	331
839	1729	329
840	1730	327
841	1732	325
842	1734	323
843	1736	321
844	1738	318
845	1740	316
846	1741	314
847	1743	312
848	1745	310
849	1746	308
850	1749	306
851	1750	304
852	1752	302
853	1754	299
854	1756	297
855	1757	295
856	1759	293
857	1760	291
858	1762	289
859	1765	287
860	1767	285
861	1769	283
862	1770	281
863	1772	279
864	1774	276
865	1777	275
866	1779	272
867	1781	270
868	1783	268
869	1785	266
870	1787	264
871	1789	262
872	1791	260
873	1793	258
874	1795	256
875	1796	254
876	1798	252
877	1801	250
878	1803	248
879	1805	246
880	1807	244
881	1809	242
882	1811	240
883	1813	238
884	1815	235
885	1817	233
886	1820	231
887	1822	229
888	1824	227
889	1826	225
890	1828	223
891	1830	221
892	1832	219
893	1835	217
894	1837	215
895	1838	213
896	1840	211
897	1843	209
898	1844	207
899	1847	205
900	1849	203
901	1851	201
902	1853	199
903	1855	197
904	1857	194
905	1859	192
906	1861	190
907	1863	188
908	1865	186
909	1867	184
910	1869	182
911	1871	180
912	1873	178
913	1875	176
914	1877	174
915	1879	172
916	1881	170
917	1882	168
918	1885	166
919	1887	164
920	1888	162
921	1891	159
922	1893	157
923	1895	155
924	1897	153
925	1899	151
926	1901	149
927	1904	147
928	1907	145
929	1908	143
930	1910	141
931	1912	139
932	1914	137
933	1915	135
934	1917	133
935	1920	131
936	1922	129
937	1923	127
938	1925	125
939	1927	123
940	1928	120
941	1930	118
942	1933	116
943	1935	114
944	1937	112
945	1938	110
946	1940	108
947	1942	106
948	1943	104
949	1945	102
950	1947	100
951	1949	98
952	1950	96
953	1952	94
954	1954	92
955	1955	90
956	1956	87
957	1958	85
958	1959	83
959	1962	81
960	1963	79
961	1965	77
962	1967	75
963	1969	73
964	1970	71
965	1971	69
966	1973	67
967	1975	65
968	1976	63
969	1978	61
970	1980	59
971	1981	57
972	1983	55
973	1984	52
974	1986	50
975	1987	48
976	1989	46
977	1991	44
978	1993	42
979	1994	40
980	1996	38
981	1997	36
982	1999	34
983	2001	32
984	2002	30
985	2003	28
986	2006	26
987	2007	24
988	2009	22
989	2011	20
990	2012	18
991	2014	16
992	2015	14
993	2017	12
994	2018	10
995	2020	8
996	2022	6
997	2023	4
998	2025	2
999	2027	0
